Sample_ID	Sample_Path	Channel	Audio_Length	Start	End	Transcription	Speaker_ID	Database
Y_M-Fokw3Wlco_8.0_11.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	8.0	11.0	credo	unknown	benedetti
Y_M-Fokw3Wlco_11.0_13.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	11.0	13.0	de pronto uno se aleja de las imágenes	unknown	benedetti
Y_M-Fokw3Wlco_13.0_17.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	13.0	17.0	queridas amigas quedas frágil en el	unknown	benedetti
Y_M-Fokw3Wlco_17.0_20.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	17.0	20.0	horizonte he dejado pensando en muchas	unknown	benedetti
Y_M-Fokw3Wlco_20.0_23.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	20.0	23.0	cosas pero ojalá pienses un poco en mi	unknown	benedetti
Y_M-Fokw3Wlco_23.0_28.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	5.0	23.0	28.0	vos sabes en esta excursión a la muerte	unknown	benedetti
Y_M-Fokw3Wlco_28.0_31.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	28.0	31.0	que es la vida me siento bien acompañado	unknown	benedetti
Y_M-Fokw3Wlco_31.0_34.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	31.0	34.0	me siento casi con respuestas cuando	unknown	benedetti
Y_M-Fokw3Wlco_34.0_37.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	34.0	37.0	puedo imaginar que haya lejos quizá	unknown	benedetti
Y_M-Fokw3Wlco_37.0_41.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	37.0	41.0	creas en mi credo antes de dormirte o te	unknown	benedetti
Y_M-Fokw3Wlco_41.0_44.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	41.0	44.0	cruces conmigo en los pasillos del sueño	unknown	benedetti
Y_M-Fokw3Wlco_44.0_47.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	44.0	47.0	está además decirte que a esta altura no	unknown	benedetti
Y_M-Fokw3Wlco_47.0_50.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	47.0	50.0	creo en predicadores ni en generales ni	unknown	benedetti
Y_M-Fokw3Wlco_50.0_52.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	50.0	52.0	en las nalgas de mis universo ni en el	unknown	benedetti
Y_M-Fokw3Wlco_52.0_55.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	52.0	55.0	arrepentimiento de los verdugos ni en el	unknown	benedetti
Y_M-Fokw3Wlco_55.0_57.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	55.0	57.0	catecismo del confort ni en el flaco	unknown	benedetti
Y_M-Fokw3Wlco_57.0_61.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	57.0	61.0	perdón de dios a esta altura del partido	unknown	benedetti
Y_M-Fokw3Wlco_61.0_65.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	61.0	65.0	creo en los ojos y las manos del pueblo	unknown	benedetti
Y_M-Fokw3Wlco_65.0_69.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	65.0	69.0	en general y en tus ojos y tus manos en	unknown	benedetti
Y_M-Fokw3Wlco_69.0_77.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	8.0	69.0	77.0	particular	unknown	benedetti
Y_M-Fokw3Wlco_77.0_79.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	77.0	79.0	y estados de ánimo	unknown	benedetti
Y_M-Fokw3Wlco_79.0_83.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	79.0	83.0	unas veces me siento como pobre colina y	unknown	benedetti
Y_M-Fokw3Wlco_83.0_86.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	83.0	86.0	otras como montaña de cumbres repetidas	unknown	benedetti
Y_M-Fokw3Wlco_86.0_90.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	86.0	90.0	una veces me siento como un acantilado y	unknown	benedetti
Y_M-Fokw3Wlco_90.0_93.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	90.0	93.0	en otras como un cielo azul pero lejano	unknown	benedetti
Y_M-Fokw3Wlco_93.0_98.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	5.0	93.0	98.0	a veces uno es manantial entre rocas y	unknown	benedetti
Y_M-Fokw3Wlco_98.0_100.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	98.0	100.0	otras veces un árbol con las últimas	unknown	benedetti
Y_M-Fokw3Wlco_100.0_104.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	100.0	104.0	hojas pero hoy me siento apenas como	unknown	benedetti
Y_M-Fokw3Wlco_104.0_107.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	104.0	107.0	laguna insomne con un embarcadero ya sin	unknown	benedetti
Y_M-Fokw3Wlco_107.0_111.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	107.0	111.0	embarcaciones una laguna verde inmóvil y	unknown	benedetti
Y_M-Fokw3Wlco_111.0_115.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	111.0	115.0	paciente conforme con sus algas sus	unknown	benedetti
Y_M-Fokw3Wlco_115.0_119.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	115.0	119.0	musgos y sus peces sereno en mi	unknown	benedetti
Y_M-Fokw3Wlco_119.0_122.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	119.0	122.0	confianza confiado en que una tarde te	unknown	benedetti
Y_M-Fokw3Wlco_122.0_126.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	122.0	126.0	acerques y que miles de miles al	unknown	benedetti
Y_M-Fokw3Wlco_126.0_133.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	7.0	126.0	133.0	mirandés	unknown	benedetti
Y_M-Fokw3Wlco_133.0_137.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	133.0	137.0	hagamos un trato	unknown	benedetti
Y_M-Fokw3Wlco_137.0_139.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	137.0	139.0	compañera usted sabe que puede contar	unknown	benedetti
Y_M-Fokw3Wlco_139.0_142.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	139.0	142.0	conmigo no hasta dos o hasta diez sino	unknown	benedetti
Y_M-Fokw3Wlco_142.0_145.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	142.0	145.0	contar conmigo si alguna vez advierte	unknown	benedetti
Y_M-Fokw3Wlco_145.0_148.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	145.0	148.0	que la miro a los ojos y una veta de	unknown	benedetti
Y_M-Fokw3Wlco_148.0_151.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	148.0	151.0	amor reconocen los míos no a leerte sus	unknown	benedetti
Y_M-Fokw3Wlco_151.0_155.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	151.0	155.0	fusiles ni piense que delirio a pesar de	unknown	benedetti
Y_M-Fokw3Wlco_155.0_158.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	155.0	158.0	la veta o tal vez porque existe usted	unknown	benedetti
Y_M-Fokw3Wlco_158.0_161.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	158.0	161.0	puede contar conmigo	unknown	benedetti
Y_M-Fokw3Wlco_161.0_163.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	161.0	163.0	si otras veces me encuentra un año sin	unknown	benedetti
